model,included,avg_loss,last_mcs_p_value,horizon
adaboost,False,7.134415083514656,0.826,1
ann,True,0.2418924207215127,0.826,1
ar1,True,0.22066628548414058,0.826,1
bagging,False,1.52573108333334,0.826,1
catboost,False,6.535559323495593,0.826,1
cnn,True,0.3033963715723557,0.826,1
gradient_boosting,False,4.0300097495538605,0.826,1
gru,True,0.2314299175630251,0.826,1
lightgbm,False,4.0929425665778085,0.826,1
lstm,True,0.22938655613572345,0.826,1
random_forest,False,2.332226157501708,0.826,1
rnn,True,0.2998684688576038,0.826,1
xgboost,False,2.4451339911012737,0.826,1
